Question,Correct Answer,Incorrect Answer
What year did World War II end?,1945,1950
What is the chemical symbol for water?,H2O,CO2
Mount Everest is located in which mountain range?,Himalayas,Andes
What year did World War II end?,1945,1950
Who discovered America in 1492?,Christopher Columbus,Ferdinand Magellan
Which continent is Egypt in?,Africa,Asia
What is the square root of 64?,8,6
"Which sport uses a bat, ball, and wicket?",Cricket,Baseball
What is the capital of France?,Paris,Rome
What language has the most native speakers?,Mandarin,Spanish
Which continent is Egypt in?,Africa,Asia
Which river flows through Baghdad?,Tigris,Euphrates
Which desert is the largest in the world?,Sahara,Gobi
Who painted the Mona Lisa?,Leonardo da Vinci,Michelangelo
"Which sport uses a bat, ball, and wicket?",Cricket,Baseball
What planet is known as the Red Planet?,Mars,Jupiter
Who directed 'Jurassic Park'?,Steven Spielberg,James Cameron
What is the capital of Canada?,Ottawa,Toronto
Who was the first President of the United States?,George Washington,Thomas Jefferson
Which mammal can fly?,Bat,Flying squirrel
Who discovered penicillin?,Alexander Fleming,Marie Curie
What is the square root of 64?,8,6
What is the currency of Japan?,Yen,Won
Who was known as the Maid of Orléans?,Joan of Arc,Marie Antoinette
Which blood type is a universal donor?,O Negative,AB Positive
What is the capital of France?,Paris,Rome
What is the name of Han Solo's ship?,Millennium Falcon,X-Wing
What is the capital of Japan?,Tokyo,Kyoto
How many players are on a soccer team on the field?,11,12
Which country has won the most FIFA World Cups?,Brazil,Germany
Mount Everest is located in which mountain range?,Himalayas,Andes
What is the hardest natural substance on Earth?,Diamond,Gold
What planet is known as the Red Planet?,Mars,Jupiter
Which ancient civilization built the Machu Picchu?,Inca,Aztec
How many continents are there?,7,6
What color is chlorophyll?,Green,Blue
Which country does Greenland belong to?,Denmark,Iceland
"What instrument has keys, pedals, and strings?",Piano,Guitar
Which sport uses a puck?,Hockey,Soccer
Which country does Greenland belong to?,Denmark,Iceland
Which gas is most abundant in the Earth's atmosphere?,Nitrogen,Oxygen
What part of the cell contains DNA?,Nucleus,Cytoplasm
What is the smallest country in the world?,Vatican City,Monaco
Which vitamin is produced when exposed to sunlight?,Vitamin D,Vitamin C
Who discovered penicillin?,Alexander Fleming,Marie Curie
What is the chemical symbol for water?,H2O,CO2
What is the largest internal organ in the human body?,Liver,Lung
What is the chemical symbol for gold?,Au,Ag
Which ancient civilization built the Machu Picchu?,Inca,Aztec
Which movie features the quote 'I'll be back'?,The Terminator,Die Hard
Which ocean is the largest?,Pacific Ocean,Atlantic Ocean
Which sport uses a puck?,Hockey,Soccer
How many players are on a soccer team on the field?,11,12
What part of the cell contains DNA?,Nucleus,Cytoplasm
Which blood type is a universal donor?,O Negative,AB Positive
Which ocean is the largest?,Pacific Ocean,Atlantic Ocean
Who discovered America in 1492?,Christopher Columbus,Ferdinand Magellan
What is the currency of Japan?,Yen,Won
Who directed 'Jurassic Park'?,Steven Spielberg,James Cameron
Which movie features the quote 'I'll be back'?,The Terminator,Die Hard
What gas do plants absorb?,Carbon Dioxide,Oxygen
Which country has won the most FIFA World Cups?,Brazil,Germany
Where did the Industrial Revolution begin?,Great Britain,USA
What is the chemical symbol for gold?,Au,Ag
What is the largest internal organ in the human body?,Liver,Lung
