Date,Region,Description
-10000,Biblical Narrative,Creation of Adam and Eve (Genesis 1–2) — Date unknown
-9800,Biblical Narrative,Fall of Man; Adam and Eve expelled from Eden (Genesis 3)
-9600,Biblical Narrative,Birth of Cain and Abel; Cain murders Abel (Genesis 4)
-9500,Biblical Narrative,Seth born to Adam and Eve (Genesis 4:25); line continues through Seth
-9000,Biblical Narrative,Genealogy: Enosh → Kenan → Mahalalel (Genesis 5)
-8700,Biblical Narrative,"Jared born, followed by Enoch (walked with God)"
-8500,Biblical Narrative,Methuselah born; lives 969 years (Genesis 5:27)
-8300,Biblical Narrative,Lamech born; Noah’s father (Genesis 5:28)
-8000,Biblical Narrative,Noah born (Genesis 5:29)
-7500,Biblical Narrative,God warns Noah; Ark construction begins (Genesis 6)
-7400,Biblical Narrative,The Great Flood begins (Genesis 7)
-7300,Biblical Narrative,Waters recede; Noah's family begins repopulating the earth (Genesis 8–9)
-7100,Biblical Narrative,Covenant with Noah; rainbow given as sign (Genesis 9)
-7000,Biblical Narrative,Tower of Babel; languages confused; people scattered (Genesis 11)
-6500,Mesopotamia,Ubaid culture expands; first temples and organized city planning
-6000,Mesopotamia,First irrigation and farming systems established
-5000,Mesopotamia,"Urbanization begins; Eridu, Ur, and Uruk established"
-4000,Mesopotamia,Ubaid period transitions to Uruk period; ziggurat construction begins
-3500,Mesopotamia,Uruk dominates; proto-cuneiform writing appears
-3200,Mesopotamia,Cuneiform writing formalized; used for administration
-3100,Egypt,Unification of Upper and Lower Egypt under Narmer (Menes)
-3000,Mesopotamia,"Etana of Kish, Alulim of Eridu among legendary early kings"
-2900,Mesopotamia,Epic of Gilgamesh begins in oral tradition
-2700,Mesopotamia,"Sumerian city-states rise: Ur, Lagash, Umma, Uruk"
-2600,Mesopotamia,Royal tombs of Ur constructed with treasures and early chariots
-2500,Egypt,Great Pyramids of Giza built under Pharaoh Khufu
-2400,Mesopotamia,Sargon the Great of Akkad begins conquest campaigns
-2334,Mesopotamia,"Sargon founds Akkadian Empire, unifies Mesopotamia"
-2300,Mesopotamia,"Enheduanna, daughter of Sargon, composes hymns; first named author"
-2200,Mesopotamia,Akkadian Empire weakens under Gutian invasion
-2100,Mesopotamia,Ur-Nammu founds Third Dynasty of Ur; Sumerian renaissance
-2091,Biblical Narrative,Call of Abram (Abraham) to leave Ur for Canaan (Genesis 12)
-2080,Mesopotamia,Ur prospers; Ziggurat of Ur constructed
-2050,Biblical Narrative,Abraham's travels through Canaan and Egypt (Genesis 12–13)
-2040,Egypt,Mentuhotep II reunifies Egypt; Middle Kingdom begins
-2000,Biblical Narrative,Abraham lives in Canaan; receives covenant promise from God (Genesis 15)
-1980,Biblical Narrative,Hagar bears Ishmael to Abraham (Genesis 16)
-1950,Biblical Narrative,Isaac born to Abraham and Sarah in old age (Genesis 21)
-1940,Biblical Narrative,God tests Abraham with the sacrifice of Isaac (Genesis 22)
-1920,Mesopotamia,Amorites rise to power; influence central Mesopotamia
-1900,Biblical Narrative,Isaac marries Rebekah (Genesis 24)
-1880,Biblical Narrative,Jacob and Esau born to Isaac and Rebekah (Genesis 25)
-1850,Biblical Narrative,Jacob deceives Isaac; flees to Laban (Genesis 27–28)
-1830,Biblical Narrative,Jacob marries Leah and Rachel; sons of Israel begin to be born
-1810,Biblical Narrative,Joseph born to Rachel in Haran (Genesis 30:22–24)
-1800,Egypt,Middle Kingdom flourishes; 12th Dynasty rulers expand irrigation and trade
-1780,Biblical Narrative,Joseph sold into slavery by his brothers (Genesis 37)
-1760,Mesopotamia,Hammurabi rises to power in Babylon
-1754,Mesopotamia,Code of Hammurabi written — earliest comprehensive law code
-1740,Biblical Narrative,Joseph interprets dreams in prison (Genesis 40–41)
-1720,Biblical Narrative,Joseph becomes vizier of Egypt under Pharaoh (Genesis 41)
-1700,Biblical Narrative,Famine spreads to Canaan; Jacob's sons come to Egypt for food
-1690,Biblical Narrative,"Jacob and family settle in Goshen, Egypt (Genesis 46)"
